Landtagswahl JJJJ; Wahldatum: JJJJ-MM-TT; Stand: 03.07.2023 13:15:10
Gebietsschlüssel;Gebietsbezeichnung;Gebietstyp;Wahlbezirksnummer;Wahllokal;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §12a(2) LWO;Wählerinnen und Wähler;Wählerinnen und Wähler mit Wahlschein;Wahlbeteiligung;Berechungsmethode;ungültige Wahlkreisstimmen;gültige Wahlkreisstimmen;ungültige Wahlkreisstimmen (%);gültige Wahlkreisstimmen (%);CDU Wahlkreisstimmen;SPD Wahlkreisstimmen;GRÜNE Wahlkreisstimmen;DIE LINKE Wahlkreisstimmen;FDP Wahlkreisstimmen;AfD Wahlkreisstimmen;PIRATEN Wahlkreisstimmen;FREIE WÄHLER Wahlkreisstimmen;NPD Wahlkreisstimmen;Die PARTEI Wahlkreisstimmen;ÖDP Wahlkreisstimmen;Graue Panther Wahlkreisstimmen;BüSo Wahlkreisstimmen;AD-Demokraten Wahlkreisstimmen;Bündnis C Wahlkreisstimmen;BGE Wahlkreisstimmen;DIE VIOLETTEN Wahlkreisstimmen;LKR Wahlkreisstimmen;MENSCHLICHE WELT Wahlkreisstimmen;Die Humanisten Wahlkreisstimmen;Gesundheitsforschung Wahlkreisstimmen;Tierschutzpartei Wahlkreisstimmen;V-Partei³ Wahlkreisstimmen;APPD (WK 13) Wahlkreisstimmen;DiB (WK 3) Wahlkreisstimmen;NEV (WK 44) Wahlkreisstimmen;ÖkoLinX He (WK 22) Wahlkreisstimmen;CDU Wahlkreisstimmen (%);SPD Wahlkreisstimmen (%);GRÜNE Wahlkreisstimmen (%);DIE LINKE Wahlkreisstimmen (%);FDP Wahlkreisstimmen (%);AfD Wahlkreisstimmen (%);PIRATEN Wahlkreisstimmen (%);FREIE WÄHLER Wahlkreisstimmen (%);NPD Wahlkreisstimmen (%);Die PARTEI Wahlkreisstimmen (%);ÖDP Wahlkreisstimmen (%);Graue Panther Wahlkreisstimmen (%);BüSo Wahlkreisstimmen (%);AD-Demokraten Wahlkreisstimmen (%);Bündnis C Wahlkreisstimmen (%);BGE Wahlkreisstimmen (%);DIE VIOLETTEN Wahlkreisstimmen (%);LKR Wahlkreisstimmen (%);MENSCHLICHE WELT Wahlkreisstimmen (%);Die Humanisten Wahlkreisstimmen (%);Gesundheitsforschung Wahlkreisstimmen (%);Tierschutzpartei Wahlkreisstimmen (%);V-Partei³ Wahlkreisstimmen (%);APPD (WK 13) Wahlkreisstimmen (%);DiB (WK 3) Wahlkreisstimmen (%);NEV (WK 44) Wahlkreisstimmen (%);ÖkoLinX He (WK 22) Wahlkreisstimmen (%);ungültige Landesstimmen;gültige Landesstimmen;ungültige Landesstimmen (%);gültige Landesstimmen (%);CDU Landesstimmen;SPD Landesstimmen;GRÜNE Landesstimmen;DIE LINKE Landesstimmen;FDP Landesstimmen;AfD Landesstimmen;PIRATEN Landesstimmen;FREIE WÄHLER Landesstimmen;NPD Landesstimmen;Die PARTEI Landesstimmen;ÖDP Landesstimmen;Graue Panther Landesstimmen;BüSo Landesstimmen;AD-Demokraten Landesstimmen;Bündnis C Landesstimmen;BGE Landesstimmen;DIE VIOLETTEN Landesstimmen;LKR Landesstimmen;MENSCHLICHE WELT Landesstimmen;Die Humanisten Landesstimmen;Gesundheitsforschung Landesstimmen;Tierschutzpartei Landesstimmen;V-Partei³ Landesstimmen;APPD (WK 13) Landesstimmen;DiB (WK 3) Landesstimmen;NEV (WK 44) Landesstimmen;ÖkoLinX He (WK 22) Landesstimmen;CDU Landesstimmen (%);SPD Landesstimmen (%);GRÜNE Landesstimmen (%);DIE LINKE Landesstimmen (%);FDP Landesstimmen (%);AfD Landesstimmen (%);PIRATEN Landesstimmen (%);FREIE WÄHLER Landesstimmen (%);NPD Landesstimmen (%);Die PARTEI Landesstimmen (%);ÖDP Landesstimmen (%);Graue Panther Landesstimmen (%);BüSo Landesstimmen (%);AD-Demokraten Landesstimmen (%);Bündnis C Landesstimmen (%);BGE Landesstimmen (%);DIE VIOLETTEN Landesstimmen (%);LKR Landesstimmen (%);MENSCHLICHE WELT Landesstimmen (%);Die Humanisten Landesstimmen (%);Gesundheitsforschung Landesstimmen (%);Tierschutzpartei Landesstimmen (%);V-Partei³ Landesstimmen (%);APPD (WK 13) Landesstimmen (%);DiB (WK 3) Landesstimmen (%);NEV (WK 44) Landesstimmen (%);ÖkoLinX He (WK 22) Landesstimmen (%);Wahlkreis gewonnen: Name;Wahlkreis gewonnen: Vorname;Wahlkreis gewonnen: Titel;Wahlkreis gewonnen: Wahlvorschlag;Anzahl Wahlbezirke;Anzahl Wahlbezirke ausgezählt;Letzte Änderung;freigegeben;Nummer aufnehmender Wahlbezirk;Name aufnehmender Wahlbezirk;Aufnahme Wahlbezirk
01353401400;"Marburg, Universitätsstadt";"SB";23101;"Nordviertel I Gemeinschaftshaus Afföller";869;734;135;0;431;0;;;6;425;1,4;98,6;57;100;93;99;25;24;6;;;19;2;;;;;;;;;;;;;0;;;;13,4;23,5;21,9;23,3;5,9;5,6;1,4;;;4,5;0,5;;;;;;;;;;;;;0,0;;;;3;428;0,7;99,3;48;76;105;103;26;30;4;8;0;11;2;0;0;0;2;1;0;0;2;2;1;4;3;;;;;11,2;17,8;24,5;24,1;6,1;7,0;0,9;1,9;0,0;2,6;0,5;0,0;0,0;0,0;0,5;0,2;0,0;0,0;0,5;0,5;0,2;0,9;0,7;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";23102;"Nordviertel II Kindertagesstätte";920;749;171;0;427;4;;;5;422;1,2;98,8;67;110;119;53;33;21;5;;;9;5;;;;;;;;;;;;;0;;;;15,9;26,1;28,2;12,6;7,8;5,0;1,2;;;2,1;1,2;;;;;;;;;;;;;0,0;;;;5;422;1,2;98,8;59;71;137;69;34;23;3;3;0;5;7;0;0;1;0;2;0;0;1;2;1;2;2;;;;;14,0;16,8;32,5;16,4;8,1;5,5;0,7;0,7;0,0;1,2;1,7;0,0;0,0;0,2;0,0;0,5;0,0;0,0;0,2;0,5;0,2;0,5;0,5;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";23103;"Nordviertel III Käthe-Kollwitz-Schule";620;472;148;0;327;2;;;2;325;0,6;99,4;78;80;84;48;9;9;4;;;6;7;;;;;;;;;;;;;0;;;;24,0;24,6;25,8;14,8;2,8;2,8;1,2;;;1,8;2,2;;;;;;;;;;;;;0,0;;;;0;327;0,0;100,0;68;62;100;55;9;11;3;3;0;3;7;0;0;1;0;0;0;0;0;0;2;3;0;;;;;20,8;19,0;30,6;16,8;2,8;3,4;0,9;0,9;0,0;0,9;2,1;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,9;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";23104;"Nordviertel IV Käthe-Kollwitz-Schule";738;575;163;0;426;2;;;6;420;1,4;98,6;86;99;119;62;17;26;5;;;3;2;;;;;;;;;;;;;1;;;;20,5;23,6;28,3;14,8;4,0;6,2;1,2;;;0,7;0,5;;;;;;;;;;;;;0,2;;;;4;422;0,9;99,1;75;80;136;66;18;24;2;13;0;3;1;0;0;0;2;1;0;0;1;0;0;0;0;;;;;17,8;19,0;32,2;15,6;4,3;5,7;0,5;3,1;0,0;0,7;0,2;0,0;0,0;0,0;0,5;0,2;0,0;0,0;0,2;0,0;0,0;0,0;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";23201;"Waldtal St. Martin-Haus";712;654;58;0;267;0;;;4;263;1,5;98,5;37;96;36;37;15;37;1;;;2;2;;;;;;;;;;;;;0;;;;14,1;36,5;13,7;14,1;5,7;14,1;0,4;;;0,8;0,8;;;;;;;;;;;;;0,0;;;;5;262;1,9;98,1;30;74;49;43;16;42;0;1;0;2;2;0;0;1;0;0;0;0;0;1;0;1;0;;;;;11,5;28,2;18,7;16,4;6,1;16,0;0,0;0,4;0,0;0,8;0,8;0,0;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,4;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";23301;"Ortenberg I Hotelfachschule";748;575;173;0;446;6;;;1;445;0,2;99,8;107;99;102;89;10;18;5;;;4;9;;;;;;;;;;;;;2;;;;24,0;22,2;22,9;20,0;2,2;4,0;1,1;;;0,9;2,0;;;;;;;;;;;;;0,4;;;;3;443;0,7;99,3;84;74;120;94;17;27;3;1;0;7;4;3;0;0;1;0;0;0;1;5;0;1;1;;;;;19,0;16,7;27,1;21,2;3,8;6,1;0,7;0,2;0,0;1,6;0,9;0,7;0,0;0,0;0,2;0,0;0,0;0,0;0,2;1,1;0,0;0,2;0,2;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";23302;"Ortenberg II Brüder-Grimm-Schule (Musikraum)";648;503;145;0;357;4;;;6;351;1,7;98,3;76;82;80;57;26;18;2;;;1;6;;;;;;;;;;;;;3;;;;21,7;23,4;22,8;16,2;7,4;5,1;0,6;;;0,3;1,7;;;;;;;;;;;;;0,9;;;;6;351;1,7;98,3;56;64;106;57;28;22;4;2;1;3;4;0;0;0;0;0;0;0;0;2;0;2;0;;;;;16,0;18,2;30,2;16,2;8,0;6,3;1,1;0,6;0,3;0,9;1,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,0;0,6;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";23303;"Ortenberg III Brüder-Grimm-Schule";725;579;146;0;400;3;;;4;396;1,0;99,0;83;93;93;69;17;28;2;;;6;5;;;;;;;;;;;;;0;;;;21,0;23,5;23,5;17,4;4,3;7,1;0,5;;;1,5;1,3;;;;;;;;;;;;;0,0;;;;6;394;1,5;98,5;67;63;116;82;17;29;0;5;0;2;4;3;0;0;1;1;0;0;0;0;0;4;0;;;;;17,0;16,0;29,4;20,8;4,3;7,4;0,0;1,3;0,0;0,5;1,0;0,8;0,0;0,0;0,3;0,3;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";24101;"Südbahnhof Stadtbüro";820;622;198;0;451;4;;;4;447;0,9;99,1;88;122;129;55;13;25;8;;;4;2;;;;;;;;;;;;;1;;;;19,7;27,3;28,9;12,3;2,9;5,6;1,8;;;0,9;0,4;;;;;;;;;;;;;0,2;;;;5;446;1,1;98,9;71;78;142;78;27;28;7;7;0;3;2;0;0;0;0;0;0;0;0;2;0;1;0;;;;;15,9;17,5;31,8;17,5;6,1;6,3;1,6;1,6;0,0;0,7;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,2;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";24201;"Hansenhaus I Adolf-Reichwein-Schule";1149;910;239;0;629;3;;;2;627;0,3;99,7;138;132;171;92;40;32;9;;;7;4;;;;;;;;;;;;;2;;;;22,0;21,1;27,3;14,7;6,4;5,1;1,4;;;1,1;0,6;;;;;;;;;;;;;0,3;;;;0;629;0,0;100,0;125;96;194;96;38;41;4;9;0;7;3;1;0;0;0;0;0;4;1;2;0;7;1;;;;;19,9;15,3;30,8;15,3;6,0;6,5;0,6;1,4;0,0;1,1;0,5;0,2;0,0;0,0;0,0;0,0;0,0;0,6;0,2;0,3;0,0;1,1;0,2;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";24202;"Hansenhaus II Pfarrei Liebfrauen";631;489;142;0;337;1;;;2;335;0,6;99,4;78;87;70;51;20;16;3;;;6;3;;;;;;;;;;;;;1;;;;23,3;26,0;20,9;15,2;6,0;4,8;0,9;;;1,8;0,9;;;;;;;;;;;;;0,3;;;;2;335;0,6;99,4;58;51;101;62;24;20;1;5;0;4;1;1;0;0;0;1;0;0;0;1;2;3;0;;;;;17,3;15,2;30,1;18,5;7,2;6,0;0,3;1,5;0,0;1,2;0,3;0,3;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,3;0,6;0,9;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";24203;"Hansenhaus III Mosaikschule";743;623;120;0;350;5;;;11;339;3,1;96,9;53;83;76;68;10;30;3;;;6;8;;;;;;;;;;;;;2;;;;15,6;24,5;22,4;20,1;2,9;8,8;0,9;;;1,8;2,4;;;;;;;;;;;;;0,6;;;;9;341;2,6;97,4;49;57;84;71;10;33;3;8;2;6;5;1;0;0;0;3;0;0;1;2;0;5;1;;;;;14,4;16,7;24,6;20,8;2,9;9,7;0,9;2,3;0,6;1,8;1,5;0,3;0,0;0,0;0,0;0,9;0,0;0,0;0,3;0,6;0,0;1,5;0,3;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";24204;"Hansenhaus IV Gemeinschaftshaus Hansenhaus";619;491;128;0;349;1;;;3;346;0,9;99,1;79;92;81;49;21;13;4;;;5;2;;;;;;;;;;;;;0;;;;22,8;26,6;23,4;14,2;6,1;3,8;1,2;;;1,4;0,6;;;;;;;;;;;;;0,0;;;;4;345;1,1;98,9;77;70;95;55;19;20;0;2;0;1;2;0;0;0;0;0;0;0;1;0;0;2;1;;;;;22,3;20,3;27,5;15,9;5,5;5,8;0,0;0,6;0,0;0,3;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,6;0,3;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";24205;"Hansenhaus V  Gemeinschaftshaus Hansenhaus";743;641;102;0;345;0;;;7;338;2,0;98,0;81;87;67;36;16;33;7;;;8;3;;;;;;;;;;;;;0;;;;24,0;25,7;19,8;10,7;4,7;9,8;2,1;;;2,4;0,9;;;;;;;;;;;;;0,0;;;;6;339;1,7;98,3;64;73;85;37;17;40;1;4;1;6;3;0;1;0;0;0;0;0;3;1;0;3;0;;;;;18,9;21,5;25,1;10,9;5,0;11,8;0,3;1,2;0,3;1,8;0,9;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,9;0,3;0,0;0,9;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";24301;"Oberer Richtsberg I Ev. Kindertagesstätte";660;601;59;0;250;1;;;8;242;3,2;96,8;49;74;26;30;10;48;2;;;2;1;;;;;;;;;;;;;0;;;;20,2;30,6;10,7;12,4;4,1;19,8;0,8;;;0,8;0,4;;;;;;;;;;;;;0,0;;;;6;244;2,4;97,6;47;55;38;28;13;50;0;3;0;1;0;0;0;1;0;0;0;0;1;2;0;5;0;;;;;19,3;22,5;15,6;11,5;5,3;20,5;0,0;1,2;0,0;0,4;0,0;0,0;0,0;0,4;0,0;0,0;0,0;0,0;0,4;0,8;0,0;2,0;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";24302;"Oberer Richtsberg II Treffpunkt Richtsb.";824;760;64;0;321;0;;;7;314;2,2;97,8;58;94;38;37;8;71;5;;;0;3;;;;;;;;;;;;;0;;;;18,5;29,9;12,1;11,8;2,5;22,6;1,6;;;0,0;1,0;;;;;;;;;;;;;0,0;;;;9;312;2,8;97,2;44;83;44;41;12;68;6;4;1;3;1;1;0;0;0;0;0;0;0;0;0;4;0;;;;;14,1;26,6;14,1;13,1;3,8;21,8;1,9;1,3;0,3;1,0;0,3;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,3;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";24303;"Oberer Richtsberg III Altenzentrum";609;572;37;0;217;1;;;8;209;3,7;96,3;48;69;16;21;3;46;1;;;1;4;;;;;;;;;;;;;0;;;;23,0;33,0;7,7;10,0;1,4;22,0;0,5;;;0,5;1,9;;;;;;;;;;;;;0,0;;;;14;203;6,5;93,5;37;60;23;23;2;48;1;1;0;1;3;0;0;0;0;0;0;0;1;0;0;3;0;;;;;18,2;29,6;11,3;11,3;1,0;23,6;0,5;0,5;0,0;0,5;1,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;1,5;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";24304;"Oberer Richtsberg IV A.-Lindgren-Schule";530;503;27;0;149;0;;;5;144;3,4;96,6;21;46;9;15;4;49;0;;;0;0;;;;;;;;;;;;;0;;;;14,6;31,9;6,3;10,4;2,8;34,0;0,0;;;0,0;0,0;;;;;;;;;;;;;0,0;;;;7;142;4,7;95,3;17;50;8;16;2;47;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;;12,0;35,2;5,6;11,3;1,4;33,1;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";24305;"Oberer Richtsberg V Gertrudisheim";783;655;128;0;299;0;;;12;287;4,0;96,0;52;93;43;32;18;46;1;;;1;0;;;;;;;;;;;;;1;;;;18,1;32,4;15,0;11,1;6,3;16,0;0,3;;;0,3;0,0;;;;;;;;;;;;;0,3;;;;9;290;3,0;97,0;44;83;45;42;18;45;3;4;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0;;;;;15,2;28,6;15,5;14,5;6,2;15,5;1,0;1,4;0,3;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,3;0,3;0,0;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";24401;"Unterer Richtsberg I Sozialzentrum";552;485;67;0;202;0;;;11;191;5,4;94,6;29;52;32;35;5;31;3;;;3;1;;;;;;;;;;;;;0;;;;15,2;27,2;16,8;18,3;2,6;16,2;1,6;;;1,6;0,5;;;;;;;;;;;;;0,0;;;;12;190;5,9;94,1;24;41;40;35;10;29;4;1;0;2;0;2;0;0;1;0;0;0;0;0;0;0;1;;;;;12,6;21,6;21,1;18,4;5,3;15,3;2,1;0,5;0,0;1,1;0,0;1,1;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";24402;"Unterer Richtsberg II Kindergarten";739;693;46;0;285;0;;;11;274;3,9;96,1;53;65;45;52;7;41;5;;;5;0;;;;;;;;;;;;;1;;;;19,3;23,7;16,4;19,0;2,6;15,0;1,8;;;1,8;0,0;;;;;;;;;;;;;0,4;;;;11;274;3,9;96,1;44;61;49;53;7;44;3;4;0;2;1;0;0;1;1;1;0;0;0;0;0;2;1;;;;;16,1;22,3;17,9;19,3;2,6;16,1;1,1;1,5;0,0;0,7;0,4;0,0;0,0;0,4;0,4;0,4;0,0;0,0;0,0;0,0;0,0;0,7;0,4;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";31101;"Wehrda I Bürgerhaus Saal 1";801;605;196;0;418;1;;;9;409;2,2;97,8;117;116;83;47;16;21;0;;;4;5;;;;;;;;;;;;;0;;;;28,6;28,4;20,3;11,5;3,9;5,1;0,0;;;1,0;1,2;;;;;;;;;;;;;0,0;;;;7;411;1,7;98,3;96;105;99;50;13;24;1;7;2;1;2;1;0;0;3;1;0;0;0;1;1;2;2;;;;;23,4;25,5;24,1;12,2;3,2;5,8;0,2;1,7;0,5;0,2;0,5;0,2;0,0;0,0;0,7;0,2;0,0;0,0;0,0;0,2;0,2;0,5;0,5;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";31102;"Wehrda II Gemeindehaus Martinskirche";842;706;136;0;494;0;;;11;483;2,2;97,8;134;135;83;43;13;50;5;;;13;5;;;;;;;;;;;;;2;;;;27,7;28,0;17,2;8,9;2,7;10,4;1,0;;;2,7;1,0;;;;;;;;;;;;;0,4;;;;6;488;1,2;98,8;112;116;103;39;28;55;5;6;0;10;3;1;0;0;2;1;0;0;0;1;0;5;1;;;;;23,0;23,8;21,1;8,0;5,7;11,3;1,0;1,2;0,0;2,0;0,6;0,2;0,0;0,0;0,4;0,2;0,0;0,0;0,0;0,2;0,0;1,0;0,2;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";31103;"Wehrda III Bürgerhaus Saal 2";784;629;155;0;488;1;;;5;483;1,0;99,0;166;122;88;44;27;27;1;;;5;1;;;;;;;;;;;;;2;;;;34,4;25,3;18,2;9,1;5,6;5,6;0,2;;;1,0;0,2;;;;;;;;;;;;;0,4;;;;6;482;1,2;98,8;136;104;114;45;30;36;0;5;0;5;1;0;0;0;0;1;0;0;1;2;0;1;1;;;;;28,2;21,6;23,7;9,3;6,2;7,5;0,0;1,0;0,0;1,0;0,2;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,2;0,4;0,0;0,2;0,2;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";31104;"Wehrda IV Kinderzentrum Raum 1";924;767;157;0;451;1;;;5;446;1,1;98,9;131;109;85;37;20;55;3;;;2;3;;;;;;;;;;;;;1;;;;29,4;24,4;19,1;8,3;4,5;12,3;0,7;;;0,4;0,7;;;;;;;;;;;;;0,2;;;;8;443;1,8;98,2;119;74;106;47;26;60;2;1;0;0;2;1;0;1;0;0;0;0;0;0;0;4;0;;;;;26,9;16,7;23,9;10,6;5,9;13,5;0,5;0,2;0,0;0,0;0,5;0,2;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";31105;"Wehrda V Kinderzentrum Raum 2";908;766;142;0;353;0;;;5;348;1,4;98,6;72;93;66;58;7;34;5;;;11;1;;;;;;;;;;;;;1;;;;20,7;26,7;19,0;16,7;2,0;9,8;1,4;;;3,2;0,3;;;;;;;;;;;;;0,3;;;;4;349;1,1;98,9;63;75;77;51;15;36;0;6;0;9;3;1;0;1;3;1;1;0;0;0;1;6;0;;;;;18,1;21,5;22,1;14,6;4,3;10,3;0,0;1,7;0,0;2,6;0,9;0,3;0,0;0,3;0,9;0,3;0,3;0,0;0,0;0,0;0,3;1,7;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";32101;"Marbach I Bürgerhaus";915;694;221;0;500;4;;;11;489;2,2;97,8;142;104;112;54;31;27;10;;;7;2;;;;;;;;;;;;;0;;;;29,0;21,3;22,9;11,0;6,3;5,5;2,0;;;1,4;0,4;;;;;;;;;;;;;0,0;;;;8;492;1,6;98,4;117;85;122;61;37;31;6;15;0;6;2;1;0;0;0;0;0;0;0;3;1;3;2;;;;;23,8;17,3;24,8;12,4;7,5;6,3;1,2;3,0;0,0;1,2;0,4;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,2;0,6;0,4;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";32102;"Marbach II Grundschule";871;694;177;0;493;0;;;7;486;1,4;98,6;122;147;94;49;30;28;3;;;8;3;;;;;;;;;;;;;2;;;;25,1;30,2;19,3;10,1;6,2;5,8;0,6;;;1,6;0,6;;;;;;;;;;;;;0,4;;;;3;490;0,6;99,4;97;108;129;60;33;30;3;13;0;7;2;0;0;0;2;1;0;0;0;0;1;3;1;;;;;19,8;22,0;26,3;12,2;6,7;6,1;0,6;2,7;0,0;1,4;0,4;0,0;0,0;0,0;0,4;0,2;0,0;0,0;0,0;0,0;0,2;0,6;0,2;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";32103;"Marbach III Kindertagesstätte";766;617;149;0;443;0;;;3;440;0,7;99,3;118;120;99;54;18;26;4;;;0;1;;;;;;;;;;;;;0;;;;26,8;27,3;22,5;12,3;4,1;5,9;0,9;;;0,0;0,2;;;;;;;;;;;;;0,0;;;;6;437;1,4;98,6;108;107;112;47;18;27;1;7;0;2;2;0;0;0;0;0;0;0;0;1;0;2;3;;;;;24,7;24,5;25,6;10,8;4,1;6,2;0,2;1,6;0,0;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,5;0,7;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";32201;"Michelbach I Grundschule";635;530;105;0;384;0;;;10;374;2,6;97,4;130;106;68;22;8;32;2;;;2;4;;;;;;;;;;;;;0;;;;34,8;28,3;18,2;5,9;2,1;8,6;0,5;;;0,5;1,1;;;;;;;;;;;;;0,0;;;;6;378;1,6;98,4;118;82;79;26;16;32;0;10;0;3;1;1;0;0;1;3;0;0;0;3;0;2;1;;;;;31,2;21,7;20,9;6,9;4,2;8,5;0,0;2,6;0,0;0,8;0,3;0,3;0,0;0,0;0,3;0,8;0,0;0,0;0,0;0,8;0,0;0,5;0,3;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";32202;"Michelbach II Bürgerhaus";881;700;181;0;560;7;;;12;548;2,1;97,9;170;123;128;42;31;47;0;;;4;3;;;;;;;;;;;;;0;;;;31,0;22,4;23,4;7,7;5,7;8,6;0,0;;;0,7;0,5;;;;;;;;;;;;;0,0;;;;7;553;1,3;98,8;156;89;150;48;39;49;1;9;0;3;2;1;0;0;1;1;0;0;0;0;2;2;0;;;;;28,2;16,1;27,1;8,7;7,1;8,9;0,2;1,6;0,0;0,5;0,4;0,2;0,0;0,0;0,2;0,2;0,0;0,0;0,0;0,0;0,4;0,4;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
01353401400;"Marburg, Universitätsstadt";"SB";32301;"Wehrshausen Mehrzweckraum";529;429;100;0;350;1;;;4;346;1,1;98,9;126;71;68;20;25;27;4;;;3;2;;;;;;;;;;;;;0;;;;36,4;20,5;19,7;5,8;7,2;7,8;1,2;;;0,9;0,6;;;;;;;;;;;;;0,0;;;;3;347;0,9;99,1;104;54;79;20;40;30;3;3;1;2;3;0;1;0;1;0;0;0;1;2;0;3;0;;;;;30,0;15,6;22,8;5,8;11,5;8,6;0,9;0,9;0,3;0,6;0,9;0,0;0,3;0,0;0,3;0,0;0,0;0,0;0,3;0,6;0,0;0,9;0,0;;;;;"";"";"";"";1;1;2022-10-04 10:35:19;1;;"";0
